Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 17 Mar, 2026","Price on 16 Mar, 2026","Price on 15 Mar, 2026","Arrival on 17 Mar, 2026","Arrival on 16 Mar, 2026","Arrival on 15 Mar, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,2234.08,2232.68,1968.06,1136.66,700.26,1035.10
Cereals,Barley(Jau),2150.00,1914.04,1936.68,1934.69,1842.79,1186.91,109.59
Cereals,Jowar(Sorghum),3699.00,4303.40,3929.61,3057.38,480.46,904.98,20.20
Cereals,Maize,2400.00,1655.51,1674.70,1684.91,17440.74,20768.04,4789.20
Cereals,Paddy(Common),2369.00,2948.11,2811.44,2442.33,19378.19,14690.72,5617.63
Cereals,Ragi(Finger Millet),4886.00,3552.50,3466.05,3433.00,359.90,245.00,573.90
Cereals,Wheat,2585.00,2357.78,2372.19,2349.32,81774.59,94885.02,9672.16
Fibre Crops,Cotton,7710.00,7578.73,7665.86,7203.61,4069.70,7053.28,330.18
Oil Seeds,Copra,12100.00,18392.20,21385.51,29901.96,46.80,78.70,5.10
Oil Seeds,Groundnut,7263.00,7581.86,7670.93,5809.81,5802.54,6532.40,31.27
Oil Seeds,Mustard,6200.00,6003.44,6135.10,6230.00,28764.18,47417.58,6602.41
Oil Seeds,Niger Seed(Ramtil),9537.00,-,8500.00,-,-,2.00,-
Oil Seeds,Safflower,6540.00,4846.57,4880.78,-,18.60,15.20,-
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,10314.32,8834.15,6774.65,92.42,51.86,3.55
Oil Seeds,Soyabean,5328.00,5205.08,5254.54,5023.88,7698.88,13392.77,313.78
Oil Seeds,Sunflower,7721.00,7054.69,7284.82,6718.14,866.80,1423.60,415.80
Oil Seeds,Sunflower Seed,6760.00,5001.00,4750.00,-,8.00,2.00,-
Others,Sugarcane,285.00,300.00,300.00,-,12.00,8.00,-
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7570.48,7522.43,8009.13,2187.39,3696.28,924.81
Pulses,Bengal Gram(Gram)(Whole),5875.00,5311.80,5289.88,5107.53,9602.52,12150.86,1145.22
Pulses,Black Gram(Urd Beans)(Whole),7800.00,8138.09,10327.44,7990.70,558.67,716.06,52.21
Pulses,Green Gram(Moong)(Whole),8768.00,7868.07,7529.36,5900.00,408.88,980.59,10.90
Pulses,Lentil(Masur)(Whole),7000.00,6605.05,6567.12,6340.24,2522.56,2755.79,98.42
Vegetables,Onion,-,1071.91,1066.30,1112.50,20550.94,22861.11,2480.63
Vegetables,Potato,-,677.71,823.24,788.47,11696.57,13250.83,4857.59
Vegetables,Tomato,-,1345.71,1451.01,1223.76,4728.90,3447.19,1301.38
